session,side,size_normalisation,size,n,cost_bp,cost_sigma,cost_half_spreads,cost_sd,participating
INTC_2024-12-02,buy,shares,35346.478718300204,58360,14.477488288219979,0.04655842892822529,7.0807016476213285,4.197033227699035,0.7813635970226761
INTC_2024-12-02,buy,shares,66344.94153596937,54324,15.999967026104871,0.05145459715170262,7.853817602920793,4.994179773541209,0.10299717948456863
INTC_2024-12-02,buy,x_over_adv,7.938974521284997e-08,46216,2.063801311787992,0.006637017746720856,1.000064912584392,0.24877809653625116,1.0
INTC_2024-12-02,buy,x_over_adv,1.8524273882998325e-07,46216,2.0642070949629256,0.00663832271252254,1.0002632565922438,0.2508684849884808,1.0
INTC_2024-12-02,buy,x_over_adv,2.9109573244711654e-07,46216,2.064746292712881,0.006640056728784186,1.0005279556863524,0.2532424784212712,1.0
INTC_2024-12-02,buy,x_over_adv,3.9694872606424983e-07,46216,2.0652730306438967,0.006641750675277995,1.0007866787012631,0.2559571040030124,1.0
INTC_2024-12-02,buy,x_over_adv,5.028017196813832e-07,46216,2.065687688082937,0.0066430841799937825,1.0009905179543457,0.2584773880078852,1.0
INTC_2024-12-02,buy,x_over_adv,6.351179617027999e-07,46216,2.066151057546521,0.006644574338632374,1.0012189645217462,0.26125312698452063,1.0
INTC_2024-12-02,buy,x_over_adv,7.938974521284997e-07,46216,2.066664353595274,0.006646225057122298,1.0014721246816285,0.26425337206743754,1.0
INTC_2024-12-02,buy,x_over_adv,1.0056034393627665e-06,46216,2.0671471597032647,0.006647777722433952,1.0017103263900964,0.2676759138456464,1.0
INTC_2024-12-02,buy,x_over_adv,1.2437726750013164e-06,46216,2.0676125786540642,0.006649274472057315,1.0019380930649775,0.2707897514877138,1.0
INTC_2024-12-02,buy,x_over_adv,1.5877949042569993e-06,46216,2.068315146466442,0.006651533873198497,1.0022817932565191,0.2746289338671475,1.0
INTC_2024-12-02,buy,x_over_adv,2.117059872342666e-06,69324,2.069857072603168,0.0066564925826804264,1.0030363634115482,0.28095742344250074,1.0
INTC_2024-12-02,buy,x_over_adv,2.8051043308540323e-06,46216,2.071460452105918,0.006661648921206669,1.003822331165451,0.289287751451657,1.0
INTC_2024-12-02,buy,x_over_adv,3.546075286173966e-06,46216,2.07273614945489,0.0066657514604851415,1.0044459436402282,0.2969154348808992,1.0
INTC_2024-12-02,buy,x_over_adv,4.445825731919598e-06,46216,2.0740679005368396,0.0066700342640256885,1.0050985291356855,0.3045129573295249,1.0
INTC_2024-12-02,buy,x_over_adv,5.6102086617080645e-06,46216,2.0763508527132473,0.006677376053190755,1.0062205729617366,0.31332869046524736,1.0
INTC_2024-12-02,buy,x_over_adv,7.065687323943648e-06,46216,2.0806860446907454,0.006691317679221204,1.0083413036311872,0.32677751973416447,1.0
INTC_2024-12-02,buy,x_over_adv,8.891651463839197e-06,46216,2.085276465788788,0.00670608010141689,1.0105802834832,0.3448641387050236,1.0
INTC_2024-12-02,buy,x_over_adv,1.1220417323416129e-05,46216,2.091112944165793,0.006724849742828242,1.013435541030927,0.3659229325549933,1.0
INTC_2024-12-02,buy,x_over_adv,1.4104911399483013e-05,46216,2.101471928649387,0.006758163397327306,1.0185030673579045,0.3939911072998145,1.0
INTC_2024-12-02,buy,x_over_adv,1.775683967927411e-05,46216,2.115133755699853,0.00680209872582461,1.025178404293369,0.4309658278180751,1.0
INTC_2024-12-02,buy,x_over_adv,2.2361444901619406e-05,46216,2.1336645789359867,0.0068616923514207735,1.034238275191904,0.4776039862385945,1.0
