session,model,decile,predicted,realised,realised_se,n,ratio
MSFT_2024-02-01,propagator_scaled,0,-1.526568447680676e-05,0.00011836475394735478,5.059727643812152e-06,363,-7.753648657365283
MSFT_2024-02-01,propagator_scaled,1,-5.48601424283367e-06,5.7077332016648586e-05,2.3603871019824362e-06,362,-10.404153086406618
MSFT_2024-02-01,propagator_scaled,2,-3.5744040184005784e-06,2.592930704042037e-05,1.0927724594808999e-06,518,-7.254162346209211
MSFT_2024-02-01,propagator_scaled,3,-2.911518761412923e-06,1.6859894147817977e-05,1.2373614711246685e-06,210,-5.790755797718469
MSFT_2024-02-01,propagator_scaled,4,-1.7718170933458058e-06,1.3410644875636166e-05,8.86234170172965e-07,359,-7.568865277347681
MSFT_2024-02-01,propagator_scaled,5,1.9540852013078936e-06,1.5856406042311186e-05,8.18972485100873e-07,398,8.114490622874731
MSFT_2024-02-01,propagator_scaled,6,3.2447847127812497e-06,2.0968054300984783e-05,1.3091363218999418e-06,327,6.462078737732997
MSFT_2024-02-01,propagator_scaled,7,4.155816004572e-06,3.95259999897095e-05,1.7414727518204132e-06,363,9.511008174140812
MSFT_2024-02-01,propagator_scaled,8,6.77192993061013e-06,6.402399210447798e-05,2.7997390633729126e-06,361,9.454319929549184
MSFT_2024-02-01,propagator_scaled,9,1.8161243164525758e-05,0.00012938482250027746,5.342088810337437e-06,363,7.124227197893811
MSFT_2024-04-01,propagator_scaled,0,-9.256845839988871e-06,0.00011342927811414635,4.544235784168446e-06,283,-12.253555916869706
MSFT_2024-04-01,propagator_scaled,1,-3.601432797137253e-06,5.9734948718252864e-05,2.5038485999316273e-06,285,-16.586439920727006
MSFT_2024-04-01,propagator_scaled,2,-1.8746011996280877e-06,3.3794079735819566e-05,1.872997019130114e-06,281,-18.0273434917913
MSFT_2024-04-01,propagator_scaled,3,-1.030140760942197e-06,1.7003033818386815e-05,1.019684612575222e-06,281,-16.505544157708446
MSFT_2024-04-01,propagator_scaled,4,-2.584825594308327e-07,1.347155687875579e-05,1.0155467410858685e-06,283,-52.11785626240923
MSFT_2024-04-01,propagator_scaled,5,4.248730656935742e-07,1.2570199993097344e-05,7.71078721707714e-07,289,29.585777513520213
MSFT_2024-04-01,propagator_scaled,6,1.1195597337632887e-06,2.1451738256708097e-05,1.3172794686633006e-06,275,19.16086976851178
MSFT_2024-04-01,propagator_scaled,7,1.9703290267093673e-06,3.687948884257889e-05,1.8321406315355051e-06,285,18.71742655295043
MSFT_2024-04-01,propagator_scaled,8,3.6105515817697113e-06,6.149504448033656e-05,2.6812266463290093e-06,281,17.032035988859846
MSFT_2024-04-01,propagator_scaled,9,9.384813237969803e-06,0.00014569865871169143,5.1823580642740305e-06,282,15.524939603721952
MSFT_2024-10-01,propagator_scaled,0,-7.913269927597859e-06,0.00014911331417883627,5.835039510174142e-06,394,-18.84345100611283
MSFT_2024-10-01,propagator_scaled,1,-2.7683007244481096e-06,7.026570545647234e-05,3.0608461243497285e-06,392,-25.38225158702025
MSFT_2024-10-01,propagator_scaled,2,-1.9049575121508115e-06,3.839834738036796e-05,1.8409549513558476e-06,394,-20.157062367765842
MSFT_2024-10-01,propagator_scaled,3,-1.3899866961912432e-06,2.645450517798494e-05,1.2601448925455782e-06,397,-19.032200272473084
MSFT_2024-10-01,propagator_scaled,4,-9.233983031497069e-07,1.613696899480804e-05,7.713292749629609e-07,386,-17.475632064478482
