q,impact,n,symbol
0.002329129609305573,0.03465022435714584,302,BIO
0.0031592506379846,0.04740345261374895,302,BIO
0.003956919521689975,0.042510225177482125,301,BIO
0.005007015294856476,0.04746286762734525,303,BIO
0.006289257388825459,0.05385230821532975,301,BIO
0.00812115746607022,0.05931705360975854,301,BIO
0.01111272703032163,0.0661346222108885,302,BIO
0.021899953054979996,0.06785274692267348,302,BIO
0.00014962028401658046,0.014652239407203475,435,BKNG
0.0002623991952532738,0.018439913842617433,435,BKNG
0.0004161474715265793,0.023202557118922544,435,BKNG
0.0006160021461201619,0.02865724300097599,435,BKNG
0.0008770523643238318,0.033344833108882095,435,BKNG
0.001255664459461371,0.042219785349164984,435,BKNG
0.001779430345531891,0.038919673842584476,435,BKNG
0.002395294768373238,0.03997405882499569,435,BKNG
0.003149914889999081,0.0565107448208968,435,BKNG
0.004239313664838611,0.06529417780905143,435,BKNG
0.0062124212677254565,0.07143190580566118,435,BKNG
0.013666330628433662,0.08588935384861413,435,BKNG
0.0002684637408635174,0.027013052378998332,1031,BKR
0.00045633418248929903,0.03230438159627064,1031,BKR
0.0006098636168041328,0.04045938807250784,1031,BKR
0.0007537990605986226,0.045080619741592116,1031,BKR
0.0009069939564148468,0.04631495498529605,1031,BKR
0.0010763054439559445,0.04965915078667112,1031,BKR
0.0012724745554451133,0.05362359220752896,1030,BKR
0.0015009989931831908,0.0576979312143527,1031,BKR
0.0017985713388314363,0.0660867895734192,1031,BKR
0.0022222757813058725,0.07340555810260485,1031,BKR
0.0029641703751393917,0.08347282699094824,1031,BKR
0.007701564590166515,0.09879807775837085,1031,BKR
0.00021608747615420838,0.020717224366863025,525,BLK
0.00045843512304228153,0.029038621879138884,525,BLK
0.0007745037272493448,0.04050271584459844,525,BLK
0.001159479744495863,0.04430494297675532,525,BLK
0.0016091703702008852,0.04618032404673641,526,BLK
0.0020928655898384643,0.04543623664110425,524,BLK
0.0026141743149037766,0.05623973836087502,526,BLK
0.0032304366091346916,0.053580014277166965,524,BLK
0.004035465650956675,0.0573861011221348,525,BLK
0.005153688648720728,0.07145053683925903,525,BLK
0.0069693361073964975,0.07257052604656263,525,BLK
0.014192061176857637,0.08361468890308571,525,BLK
0.00029693710038659524,0.023005716714763872,1092,BSX
0.000523369784808006,0.029335987262511534,1092,BSX
0.0006973974573258087,0.031192245766538368,1092,BSX
0.0008548053099419627,0.03710281972617574,1092,BSX
0.001015685485884625,0.039773288393075965,1092,BSX
0.0012004142161894848,0.04053555176719339,1092,BSX
0.0014001304389901386,0.04681709775561036,1091,BSX
0.0016446758749844058,0.050545830544517376,1093,BSX
0.00196698299549026,0.0578042657305943,1091,BSX
0.002415506066224353,0.06175202436840786,1092,BSX
0.0031760514252148976,0.07148251295123081,1092,BSX
0.0066001882483844665,0.08860597594653587,1092,BSX
0.0002804919553144911,0.02097495864652311,888,C
0.00045290414432882603,0.027932755900280264,887,C
0.0005874729839923656,0.029454084710603404,887,C
0.0007112195584644355,0.03530422058290603,887,C
0.0008447689117844761,0.03938560649062165,887,C
0.0009822896550071539,0.04231399305104258,888,C
0.0011459755131445137,0.04474417542474826,887,C
0.0013508253505666967,0.05167614255785946,887,C
0.0016034776520143011,0.05511518263418933,887,C
0.001975842524557161,0.06501224526031431,887,C
0.0026369158568639475,0.07203517778135572,887,C
0.005634016772879823,0.09748707595185331,888,C
0.0003173699056525031,0.024632925450024143,805,CBRE
0.0006921766105944844,0.03257228640178841,804,CBRE
0.0010003970437105869,0.036328431654416835,804,CBRE
0.0012978575543711704,0.03973435371826602,804,CBRE
0.0015967804652027465,0.042781999676158144,804,CBRE
0.0019313069172212096,0.046811420328780974,804,CBRE
0.0023078586795433043,0.04903879313923247,804,CBRE
0.0027560516808797287,0.056486105762863656,804,CBRE
0.003355846274423191,0.05796959394350595,804,CBRE
0.004156610742997709,0.06232022814638783,804,CBRE
0.005435072818074215,0.06968114305929575,804,CBRE
0.011064187094043722,0.07992717644072171,805,CBRE
0.00031522339870006564,0.02189146185261711,1024,CFG
0.0005406585099137515,0.02805452606017157,1024,CFG
0.0007278801061607292,0.03154476250866689,1023,CFG
0.0008970449953267124,0.03488140534360298,1025,CFG
0.0010716279084027295,0.037116712350732925,1022,CFG
0.0012615333285187806,0.04102360992324628,1024,CFG
0.0014753078318722871,0.041876436333394544,1024,CFG
0.0017470201525635058,0.04619709212715643,1023,CFG
0.0020994513694786443,0.051386917757949374,1024,CFG
0.0025899343076033294,0.05847198176976394,1023,CFG
0.003418894667824261,0.06767430733005286,1024,CFG
0.007225030822640022,0.08530891540019037,1024,CFG
0.00026814345607656316,0.024495777576058135,565,CI
0.0006223182150276272,0.03402166750078539,562,CI
0.0009611435006424647,0.04425721398702321,563,CI
0.00129866782269027,0.04437027598343747,563,CI
0.0016570541323871087,0.048921458413013964,563,CI
0.002026124990078979,0.04947646825799086,564,CI
0.0024510411237873607,0.053628895599754436,563,CI
0.0030064867516503006,0.05580311390230186,563,CI
0.0036964324449263015,0.062235676354317385,563,CI
0.004648160426385517,0.06635112591592043,563,CI
0.006324189320924152,0.07114324114977183,563,CI
0.012222756795504644,0.07845976408314428,564,CI
0.00024543534418655123,0.020622814769754923,656,CINF
0.0005525621525413304,0.03158696969084189,655,CINF
0.0009055186588122269,0.037700500473653184,655,CINF
0.001244731725311432,0.03920439402120731,655,CINF
0.001586927138179663,0.04357113654821655,655,CINF
0.001960525522849949,0.047821433158500085,657,CINF
0.002365211505253032,0.05297670458740913,654,CINF
0.002861324717955028,0.05813058673909136,655,CINF
0.003484567067070523,0.059214757903952746,655,CINF
0.00436862703150366,0.06469138631494327,655,CINF
0.005953219401453103,0.0800940167776641,655,CINF
0.0146198087334383,0.08302890051486574,656,CINF
0.0002976202606821269,0.025118822595195944,978,CMCSA
0.00047938170561796745,0.03450717916246651,978,CMCSA
0.0006062027319476585,0.04001269614146756,978,CMCSA
0.0007281983050558618,0.04327868385590671,977,CMCSA
0.0008561796584976474,0.0458680703768147,978,CMCSA
0.0009949514575211156,0.053508657777129584,979,CMCSA
0.001151356687055325,0.05825231873839026,976,CMCSA
0.001331870234245396,0.06388467045687037,978,CMCSA
0.0015546575699815503,0.06377112853110561,978,CMCSA
0.0018645672378441158,0.075411231558616,977,CMCSA
0.0023761512405225727,0.08116868503879311,978,CMCSA
0.005184720818970987,0.10666778124900515,978,CMCSA
0.0002974438253233064,0.028179845874929388,1142,CMS
