session,schedule,benchmark,pricing,saving_per_share,saving_pct
AAPL_2024-08-01,kkt_risk_neutral,twap,realised_bucket,-2.1316460740087803e-05,-11.516672080871459
AAPL_2024-08-01,kkt_risk_neutral,vwap,realised_bucket,2.9554676422442115e-05,12.52511421686836
AAPL_2024-08-01,kkt_ac_low,twap,realised_bucket,-1.6206297918496486e-05,-8.755797739970642
AAPL_2024-08-01,kkt_ac_low,vwap,realised_bucket,3.466483924403343e-05,14.690773961957756
AAPL_2024-08-01,kkt_ac_medium,twap,realised_bucket,-3.4990865550640833e-05,-18.904560625054888
AAPL_2024-08-01,kkt_ac_medium,vwap,realised_bucket,1.5880271611889085e-05,6.729974400354733
AAPL_2024-08-01,kkt_ac_high,twap,realised_bucket,-0.0002455374843417621,-132.65685730878684
AAPL_2024-08-01,kkt_ac_high,vwap,realised_bucket,-0.00019466634717923216,-82.49855954264453
AAPL_2024-10-01,kkt_risk_neutral,twap,model,0.00012470102448700082,6.16848197287482
AAPL_2024-10-01,kkt_risk_neutral,vwap,model,9.246001663023597e-05,4.647767235457092
AAPL_2024-10-01,kkt_ac_low,twap,model,0.00011222043021504252,5.5511147852831515
AAPL_2024-10-01,kkt_ac_low,vwap,model,7.997942235827768e-05,4.020394461253286
AAPL_2024-10-01,kkt_ac_medium,twap,model,-0.00035630489452897996,-17.625038188665307
AAPL_2024-10-01,kkt_ac_medium,vwap,model,-0.0003885459023857448,-19.531371293189064
AAPL_2024-10-01,kkt_ac_high,twap,model,-0.003002928489544572,-148.5433686675032
AAPL_2024-10-01,kkt_ac_high,vwap,model,-0.003035169497401337,-152.5714774689707
AAPL_2024-10-01,kkt_risk_neutral,twap,realised_bucket,-7.651411391996002e-06,-4.7583666386522125
AAPL_2024-10-01,kkt_risk_neutral,vwap,realised_bucket,1.211045455046559e-05,6.707127176492382
AAPL_2024-10-01,kkt_ac_low,twap,realised_bucket,-8.495082926998431e-06,-5.2830408824571595
AAPL_2024-10-01,kkt_ac_low,vwap,realised_bucket,1.1266783015463161e-05,6.239876978998326
AAPL_2024-10-01,kkt_ac_medium,twap,realised_bucket,-5.020673845978715e-05,-31.223268111357743
AAPL_2024-10-01,kkt_ac_medium,vwap,realised_bucket,-3.0444872517325556e-05,-16.861268996542318
AAPL_2024-10-01,kkt_ac_high,twap,realised_bucket,-0.00027200575652334947,-169.15874092406125
AAPL_2024-10-01,kkt_ac_high,vwap,realised_bucket,-0.0002522438905808879,-139.70011171498106
